NUMBER X_IMAGE Y_IMAGE FLUX_APER FLUXERR_APER ISOAREA_IMAGE THETA_IMAGE FLAGS ELONGATION                                             
       351    850.3688     74.9917     1656.755     101.5064        31 -51.01   2    1.195
       352    397.6206     75.5380     2542.833     102.9544        34  19.73   2    1.031
       353    807.3114     80.2661      1642.52     100.4174        24  28.56   0    1.087
       354    669.3555     82.2829     638.6206     98.11902        12  56.35   2    2.658
       355    645.9135     74.1099     2193.135     101.9181        71  28.54   0    2.032
       356    406.6953     59.9807     14387.87     125.7921       110  65.64   2    1.178
       357    464.0689     75.8841     2203.203     101.6785        40 -41.50   2    1.124
       358    308.5366     86.7085     771.2956     98.42586        11 -16.47   0    1.125
       359    961.0030     86.8088     780.3864     98.98733        10  87.64   0    1.200
       360    408.0749     74.4042     3044.206     104.0553        55 -80.00   2    1.795
       361    900.9081     82.5902     1265.934     100.0959        22  10.61   0    1.189
       362    389.9555     70.1575     5154.593     108.0743        63 -34.78   2    1.400
       363    891.7659     83.4983     1860.012     100.3783        30  -8.65   0    1.139
       364    832.4115     86.0128     788.6324     99.00626        15 -60.71   0    1.278
       365    525.3077     88.3578      821.235        98.27        13  43.32   0    1.112
       366    559.5171     88.2503     952.5513     98.84351        14   5.14   0    1.038
       367    681.3107     71.5104     2133.153     101.7842        51  58.03   2    1.656
       368    588.5411     76.1944     2697.668     103.5535        55  64.97   2    1.398
       369    621.5421     79.8350     4556.625     107.3078        45 -49.47   0    1.082
       370    367.3161     82.4787     1149.595      99.0265        20  33.18   2    1.098
       371    973.8482     84.5574     1445.714     100.7684        19 -53.06   0    1.113
       372    860.5182     87.3075     892.0562     98.97421        18  38.30   0    1.681
       373    329.6710     89.3320     960.4988     99.13125        13 -45.55   2    1.169
       374    634.4652     67.5235     2109.542     101.4689        58 -57.31   2    2.378
       375    323.9730     78.1484     2482.631     103.0805        52 -64.69   0    1.229
       376    111.3891     87.7614      1130.22     100.5861        16 -84.16   0    1.056
       377    740.0707     80.6411     1374.997     100.3433        42 -79.65   2    1.258
       378    758.1401     90.4575     613.0006     99.14189        11 -48.91   0    1.475
       379    464.8800     47.1558     19521.82     135.1443       143 -87.51   2    1.107
       380    356.6136     82.5284     1722.059     101.3897        36  89.55   0    1.355
